rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
58,MKL,Markel Group Inc,1883.38,1880,-0.2,,None,,Financial Services,Insurance - Property & Casualty
59,V,Visa Inc Class A,330.52,330,-0.2,,Wide,,Financial Services,Credit Services
60,LII,Lennox International Inc,570.73,563,-1.4,,Narrow,,Industrials,Building Products & Equipment
61,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,434.99,428,-1.6,,Wide,,Technology,Semiconductors
62,GWW,W.W. Grainger Inc,1374.78,1340,-2.5,,Wide,,Industrials,Industrial Distribution
63,SHW,Sherwin-Williams Co,339.08,330,-2.7,,Wide,,Basic Materials,Specialty Chemicals
64,AMG,Affiliated Managers Group Inc,340.08,330,-3.0,2,None,,Financial Services,Asset Management
65,AMGN,Amgen Inc,352.82,342,-3.1,3,Wide,,Healthcare,Drug Manufacturers - General
66,MTD,Mettler-Toledo International Inc,1243.42,1200,-3.5,,Narrow,,Healthcare,Diagnostics & Research
67,DE,Deere & Co,630.76,600,-4.9,,Wide,,Industrials,Farm & Heavy Construction Machinery
68,FFIV,F5 Inc,386.01,366,-5.2,,Narrow,,Technology,Software - Infrastructure
69,ISRG,Intuitive Surgical Inc,399.69,378,-5.4,,Wide,,Healthcare,Medical Instruments & Supplies
70,WAT,Waters Corp,376.89,349,-7.4,,Wide,,Healthcare,Diagnostics & Research
71,GEV,GE Vernova Inc,1085.47,1000,-7.9,,Narrow,,Industrials,Specialty Industrial Machinery
72,ADI,Analog Devices Inc,417.93,380,-9.1,3,Wide,,Technology,Semiconductors
73,CDNS,Cadence Design Systems Inc,368.23,330,-10.4,,Wide,,Technology,Software - Application
74,HUBB,Hubbell Inc,536.04,479,-10.6,,Wide,,Industrials,Electrical Equipment & Parts
75,HUM,Humana Inc,376,333,-11.4,,Narrow,,Healthcare,Healthcare Plans
76,EQIX,Equinix Inc,1087.61,950,-12.7,,Narrow,,Real Estate,REIT - Specialty
77,VRTX,Vertex Pharmaceuticals Inc,480.18,410,-14.6,,Narrow,,Healthcare,Biotechnology
78,IDXX,IDEXX Laboratories Inc,554.94,470,-15.3,,Wide,,Healthcare,Diagnostics & Research
79,AMD,Advanced Micro Devices Inc,532.57,450,-15.5,3,Narrow,,Technology,Semiconductors
80,URI,United Rentals Inc,1139.51,960,-15.8,,Narrow,,Industrials,Rental & Leasing Services
81,SNA,Snap-on Inc,400.95,335,-16.4,,Narrow,,Industrials,Tools & Accessories
82,LFUS,Littelfuse Inc,477.22,390,-18.3,,Narrow,,Technology,Electronic Components
83,LLY,Eli Lilly and Co,1127.69,900,-20.2,,Wide,,Healthcare,Drug Manufacturers - General
84,TT,Trane Technologies PLC Class A,503.46,402,-20.2,,Narrow,,Industrials,Building Products & Equipment
85,ARGX,argenx SE ADR,888.65,700,-21.2,,None,,Healthcare,Biotechnology
86,COST,Costco Wholesale Corp,942.24,740,-21.5,,Wide,,Consumer Defensive,Discount Stores
87,CRWD,CrowdStrike Holdings Inc Class A,678.65,530,-21.9,,Wide,,Technology,Software - Infrastructure
88,ASML,ASML Holding NV ADR,1841.18,1400,-24.0,,Wide,,Technology,Semiconductor Equipment & Materials
89,RBC,RBC Bearings Inc,648.89,490,-24.5,,Wide,,Industrials,Tools & Accessories
90,CMI,Cummins Inc,727.59,520,-28.5,,Narrow,,Industrials,Specialty Industrial Machinery
91,AMAT,Applied Materials Inc,668,470,-29.6,,Wide,,Technology,Semiconductor Equipment & Materials
92,MLM,Martin Marietta Materials Inc,628.94,440,-30.0,,Narrow,,Basic Materials,Building Materials
93,PH,Parker Hannifin Corp,989.91,680,-31.3,,Narrow,,Industrials,Specialty Industrial Machinery
94,GS,The Goldman Sachs Group Inc,1065.09,730,-31.5,,Wide,,Financial Services,Capital Markets
95,STX,Seagate Technology Holdings PLC,1025.36,680,-33.7,,None,,Technology,Computer Hardware
96,CAT,Caterpillar Inc,1057.01,680,-35.7,,Wide,,Industrials,Farm & Heavy Construction Machinery
97,WDC,Western Digital Corp,675.39,415,-38.6,,None,,Technology,Computer Hardware
98,PWR,Quanta Services Inc,718.59,430,-40.2,,None,,Industrials,Engineering & Construction
99,SNDK,SanDisk Corp Ordinary Shares,2335,1000,-57.2,,None,,Technology,Computer Hardware
100,MU,Micron Technology Inc,1213.56,455,-62.5,,None,,Technology,Semiconductors
